Kabupaten_Kota,Tanggal,RF_Pred,LGBM_Pred,Blended_Pred
Kabupaten Jombang,2025-12-01,15930.414699999998,18531.850368115633,17231.132534057815
Kabupaten Kediri,2025-01-01,5722.046499999998,5116.996764455631,5419.521632227814
Kabupaten Kediri,2025-02-01,6108.308699999997,3720.1408460410958,4914.224773020546
Kabupaten Kediri,2025-03-01,33748.591400000005,26316.92482674881,30032.75811337441
Kabupaten Kediri,2025-04-01,42872.334899999994,37397.33744193687,40134.83617096843
Kabupaten Kediri,2025-05-01,9765.127500000002,11987.126691720245,10876.127095860124
Kabupaten Kediri,2025-06-01,5112.199100000002,2866.5049439655595,3989.3520219827806
Kabupaten Kediri,2025-07-01,20134.838300000007,19577.228360061185,19856.033330030594
Kabupaten Kediri,2025-08-01,17004.5735,19963.895186425314,18484.234343212658
Kabupaten Kediri,2025-09-01,7329.056899999999,11162.99139550594,9246.024147752969
Kabupaten Kediri,2025-10-01,4366.5547,1289.2414897297142,2827.898094864857
Kabupaten Kediri,2025-11-01,4765.522099999999,4901.984987817406,4833.753543908702
Kabupaten Kediri,2025-12-01,6638.335499999997,10178.331245776699,8408.333372888348
Kabupaten Lamongan,2025-01-01,11692.0572,11683.251416955925,11687.654308477962
Kabupaten Lamongan,2025-02-01,18225.592200000006,27354.932887883875,22790.262543941943
Kabupaten Lamongan,2025-03-01,172183.36529999998,184669.4159442311,178426.39062211552
Kabupaten Lamongan,2025-04-01,149233.44119999988,141040.87781481724,145137.15950740856
Kabupaten Lamongan,2025-05-01,40637.6911,17394.562534387915,29016.126817193956
Kabupaten Lamongan,2025-06-01,66219.97509999998,65502.09671992949,65861.03590996473
Kabupaten Lamongan,2025-07-01,74574.15859999997,96231.99726838147,85403.07793419072
Kabupaten Lamongan,2025-08-01,64448.535299999974,82221.14602489425,73334.84066244711
Kabupaten Lamongan,2025-09-01,112155.36349999998,76918.31775697262,94536.8406284863
Kabupaten Lamongan,2025-10-01,27176.65310000001,25108.938918301854,26142.79600915093
Kabupaten Lamongan,2025-11-01,6226.5526999999975,6568.582667687488,6397.567683843743
Kabupaten Lamongan,2025-12-01,5883.0309,8969.843358258975,7426.437129129487
Kabupaten Lumajang,2025-01-01,16974.4517,16084.755002097107,16529.603351048554
Kabupaten Lumajang,2025-02-01,11881.514500000005,12347.217594676986,12114.366047338495
Kabupaten Lumajang,2025-03-01,20589.554900000003,18994.18484761204,19791.86987380602
Kabupaten Lumajang,2025-04-01,38165.26110000001,27599.993019997408,32882.62705999871
Kabupaten Lumajang,2025-05-01,33887.81300000004,35763.90332909285,34825.858164546444
Kabupaten Lumajang,2025-06-01,21614.253000000004,23771.377052038046,22692.815026019023
Kabupaten Lumajang,2025-07-01,18036.32970000001,17954.579018362514,17995.45435918126
Kabupaten Lumajang,2025-08-01,25324.401099999995,22188.876257596876,23756.638678798437
Kabupaten Lumajang,2025-09-01,20166.56310000001,15548.85320307681,17857.70815153841
Kabupaten Lumajang,2025-10-01,15005.200900000003,11738.014742483538,13371.60782124177
Kabupaten Lumajang,2025-11-01,16213.933600000006,14093.499710489856,15153.71665524493
Kabupaten Lumajang,2025-12-01,15244.606399999999,15972.60959583777,15608.607997918883
Kabupaten Madiun,2025-01-01,9147.8984,9367.742925080505,9257.820662540253
Kabupaten Madiun,2025-02-01,6888.9299999999985,5003.428680230191,5946.179340115095
Kabupaten Madiun,2025-03-01,44952.6322,49099.686862913346,47026.15953145667
Kabupaten Madiun,2025-04-01,120533.8967999999,103471.9014122033,112002.8991061016
Kabupaten Madiun,2025-05-01,26086.911800000013,27457.6076137451,26772.259706872555
Kabupaten Madiun,2025-06-01,6821.8722,2457.8807472978997,4639.87647364895
